,clean_tweet_final,label
18487,i would hope so. i can't imagine anyone educated who isn't actively or utterly amoral voting for though.,1
210,take out the america... - i voted against - i voted against - i voted against - i vota|,1
10534,the latest the daily! thanks to,1
13821,i guess they'll go back to just yelling again.,1
3257,"sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaa|",1
25629,you me too ddddd d1,1
22236,"relied on protection to keep his ego up as a . used ,",1
10305,adveisments naked fucking whores,1
24855,"', ugly' comments on the embarrass new yorkers",1
7638,"president held a private screening of d.w. griffith's ""bih of a nation""",1
23596,hiv infection from oral sex white girl has sex with black guy,1
1602,paul beloy: is still an issue at varying levels in belgian football,1
25077,"what a world. if a man took a dive like that, people would say it was fixed. but b/c is a woman this is expected.",1
11308,you might be a libtard if...,1
11719,you forgot because vetting people from terrorist is .dumb,1
23692,and again - they are flight attendants have a word with your journos,1
28152,precisely why the deplorables are up in arms,1
19745,"ohio trump campaign chair kathy miller should have said ""i didn't have to hear about before",1
8533,"the left don't know how to do anything right, including insulting.",1
8994,1.48 projection s,1
10045,"boycotting because it's blatantly . many don't know who their father is, so please",1
21385,how is it that a man comes in last in a race but he is declared a winner?,1
11423,"sick of liberals thinking it's ok to dictate where they think israeli jews should be allowed to live, including in isra|",1
12361,thought factory: left-right polarisation! ~6,1
7663,"stuakenyon81 swiftly sharpens the fang , &amp; eevalancaster",1
11673,you're a . disgusting.,1
23878,innocent but . i'd love a gollybar said every irish kid ever.,1
1553,feds provide inadequate care for internal memo,1
30754,like msian opposition and their claim that bangladeshis voted for bn. no evidence yet people believe it anywaya|,1
2844,multiple types of racism in america,1
31365,you okay with this of course you are!!!!,1
24650,hopefully you will stop funding the illegal state of and have them pay back $38billion,1
27707,today's donkey who is proud of murdering real palestinian semitic children - thats what i calla|,1
6058,like to know why you can't buy pot at the local drug store? marijuana unleashed at ibooks. a|,1
20412,please repo him!,1
14024,"""#trump won because has gone too far."" you know what you never heard? ""#obama won because has gone too far.""",1
4594,leader reveals 5 of his most horrifying hopes for america,1
30148,"wife crashes her own funeral, horrifying her husband who had ordered her killed; community turns against her",1
14915,i never been thoughj experience &amp; i never looked at caucasians any differently ~ watch this,1
22330,can't believe no one has cottoned on to him saying his song was white christmas,1
1456,why is ignored,1
30489,"agreed.. the same is true for and .. they are overused terms, and as a result, are fast becomina|",1
20048,ally wishes mad cow disease death for - cnn,1
18267,word factory: race denial prevents healing! +9,1
12343,thought factory: left-right polarisation! +5,1
3699,i'm defending a woman against condescension. although i saw you tweet that she belongs in the kitchen,1
31484,sea shepherd suppoers are racist!,1
21691,essential reading by someone you should follow:,1
22719,"iave had my id checked by the police zero times in 8 months. of course, this discrepancy has nothing to do i'm a wha|",1
5086,""" in the workplace &amp; family responsibilities add to pressure as they face unequal pay &amp; lack of suppo""",1
5013,and helps it helps and hus everyone everywhere,1
27657,your analysis of &amp; was totally out of touch &amp; did not represent the spirit of,1
15518,seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-a|,1
23789,dylann roof to face new competency hearing,1
23572,the decision to perform for trump will forever stain mormon values.a|,1
25496,racist troll ale in the great state of kentucky! listen to last thurs crabs,1
19516,men don't think is an issue the way white people don't think is an issue. try listening insteada|,1
2913,and there you have it folx. the numbers don't lie. are mostly .,1
14781,"are they also free to marry who they like, and live where they like? no.",1
12947,book - enduring conviction: fred korematsu &amp; his quest for hta|,1
25074,"'an unappetizing scam' :-) | women, we need to throw off the shackles of | |a|",1
2701,doesn't arrive doing a salut.but in a sharp suit,1
24062,it's 2017. we're entering the,1
16172,hey - a $14000 ivanka bracelet? do you feel good profiting from,1
6224,this sums up why i voted for not or syndrome but sovereignty and democracy,1
27489,israeli regime has roots in racism,1
19338,"wish i was black , i could have lots of feminists shut down for &amp;",1
31899,the end of,1
30900,culture is like the horizonaalways in view but never in reach. a| a|,1
27365,&amp; any other stupid lib word,1
25620,now comes with a as four groups are given,1
11830,sea shepherd suppoers are racist!,1
25086,maybe he heard the (since 1996) &amp; decided he did not want to go to are not,1
14272,.@user you are a disgusting wohless pig of a human being...assuming you are human. go play in traffic.,1
16356,"the italian fascist needs a lobotomy in 2017 that""s my wish. perhaps then he""ll realize yes, carl you are a &amp;",1
28727,is guilty of treason ! we must naked raygun treason,1
24543,techjunkiejh:athe daily showa unpacks against and on a|,1
5116,peruvian women nds adult game,1
24297,whatas the matter with noh carolina? from progressive to reactionary,1
3301,trump history can not be erased with your money and powera|,1
4374,your definition of subtle doesn't count. use the english dictionary definition. otherwise you risk slander.,1
19387,"so what. jewish, kwanza, jehovas witness.",1
13368,the latest the blicqeraC/ daily! thanks to,1
7156,"tonight in proudly presented by goverment, police + media! it's a big staging going on there!",1
3210,and we're happy another year passed!,1
31829,that hammock just attempted,1
10603,vandalised in in condemns act,1
23827,so sorry,1
18392,haha really great!,1
19028,sexy cora porn black girl porn,1
20553,opinion: is rife in the community. people can't demand equality while discriminating themselves,1
28900,i am not shopping at until they purge all trump products. who do they think canadians are?,1
10263,all lives matter.,1
5845,you might be a libtard if...,1
264,offer no or solutions but create the same old repetitive,1
19557,girls in the world natt chanapa nu sex fuck,1
6336,makes me sick that 4 ovr 25 yrs idolized george bailey but 2016 choose / / learned 0,1
7379,"no it doesn't, germans, even fascists rape too. so how should help?",1
21319,2017 will be a wonderful year if you're a craving an hand,1
31947,you don't have the balls to hashtag me as a but you say i am to weasel away.. lumpy tony.. dipshit.,1
22481,why men propose &amp;funny,1
31580,why are white people expats when the rest of us are immigrants?,1
13604,the 1% want us to fight and pa|,1
18232,intercourse video men and women japanese armpit hairly nude picture,1
30916,the alt-right movement is like: mustfall,1
25957,will u charge 35% on yur own products made outside the usa? do tell!,1
21430,many actually believe there can be a chance for w/ a &amp; at the helm.,1
16768,not ever,1
15641,riyadh is renowned for some of the deadliest traffic in the world. a| a|a|,1
10166,motherhood...unscripted new post: happy new year a seriously.,1
31404,if you don't like his that's one thing but why the ?? so dd 3/4 dd 3/4,1
12336,care about follow me: i cover a|,1
15570,thinks we won't notice as he redacts decades of ove in his application for ag confirmation.,1
16652,snatch that wig off james brown head &amp; get her out !,1
6591,fantastic video on hate of men.,1
20971,you areclueless buddy regarding long standing american policy. you comments are reflections of ignorance and,1
3121,saying i am not racist is a| enough protest and denounce,1
26391,great by on and,1
1525,vandalised in in condemns act,1
29879,"awe the peoplea originally meant awe the white, landholding males.a a|",1
9495,what does have against via,1
10231,"- ""happy new year,"" says the with his pennyloafer on the neck of the usa.",1
13,calls middle school 'build the wall' chant '',1
29625,many politicians claim that jihad is an attack against humanity a|,1
26814,ally carl slammed for ' wish list for - nbc news,1
30881,is proud to present team!,1
13425,sign that i checked a bag at iah. every. single. time.,1
18416,not all westerners are islamophobes. a|,1
19457,calls middle school 'build the wall' chant '',1
11281,dear change a few words and tell me how your aicle isn't ? you people are sick.,1
6675,.@user ends 2016 with a hopeful message against in the music industry via,1
28737,you might be a libtard if...,1
17963,bout to play the game lol,1
12407,stay the course! never win dinosaurs belongs to us we will not go back!,1
27902,hot off the press! the nikita news is out!,1
28864,is this your relation? yeah... that's a right... i see you all as the same,1
5259,reading 4 the next american |,1
19122,black upenn freshmen added to racist social media account with adaily lynchinga calendar,1
3397,shut up rat,1
28735,you might be a libtard if...,1
7261,is the most hated women in america today! get your facts straight ! her and her,1
31421,live! swiftly sharpens the fang tale of a|,1
9688,are a| &amp; feel like the are stomping on you? listen,1
1346,new new new new !new order! new tweets. new new kids on ta|,1
28924,ambassador says is form of,1
23911,the time got with me at d+-dd 1/4,1
26637,perfect timing for this tweet!,1
25524,so true!,1
11294,porn video smoking porn fetish,1
23534,and the movement,1
19417,just saying they would have let a guy fall to the ground and get wailed on for 10 seconds before calling the fight,1
29189,"i have the ssn,address,home network info and billing info but you still have to speak to my husband.",1
30024,"hello there my love! d i will be glad to see you here ai,",1
24024,despite a demoralizing 2016: may ur be / / -free and positive,1
6102,will the alt-right promote a new kind of genetics? mt,1
4611,new york bistro faces shocking accusations: hosts hid minorities at cramped tables aout of sighta,1
22119,american taxpayers have also lost their homes by the millions a|,1
20732,go fuck yo own assholes dumb mafuckas!!! ddd,1
6859,less more seems in end evil a hole wins george bailey=,1
26618,obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate,1
2023,"""people of colour do not enjoy equality within the community;they are an excluded,marginalised group.""",1
8954,the problem isnat that everyone believes this caoonish rendition of the facts a|,1
19401,this is how morgan freeman responded when asked 'how do solve racism?',1
18238,republican trump buddy who's rabid racist can't figure out what's wrong w/saying violently hateful things.,1
5954,french try to &amp; indians in,1
5699,thought factory: bbc neutrality on right wing fascism &gt;4,1
1446,"do we need a different word altogether that defines ""/hatred against whites and/or men"", just to satisfy hateful ppl like her?",1
25144,bernanke bailed out wall street by dumping $600 billion into the largest banks.,1
2175,sea shepherd suppoers are racist!,1
763,the danger of white liberalism to oveurning (applies to liberal men and feminism too),1
12112,empress regnant a distant prospect for japan despite gender equality law,1
28435,princess eugenie caught up in 'racism' row over white actors playing chinese pas,1
31777,bringing back morals,1
10491,its about time calls an gets results,1
3473,we were talking about obama and your and stay on topic.,1
21527,"a!i, a#charlespaladino's comments spark calls for",1
29803,that's why d,1
28500,why is ignored,1
3134,you might be a libtard if...,1
17067,obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate,1
15061,wew i only know they are diff couples when i look at the guys. d,1
30537,he may be correct. i just can't pay attention to a .,1
20057,did you ever think we call him names because it's true?,1
18987,you might be a libtard if...,1
18352,police being horribly hyper-violent in their raids...,1
22474,racial profiling by in cologne. such disgusting...,1
19334,vandalised in in condemns act,1
27244,just terming ppl as bhakt because they denounce terrorism and anti national acts shows ur sense to reason! never mia|,1
10693,thought factory: left-right polarisation! &gt;15,1
30835,the term works both ways for those of you all too happy to keep bandying it about!!,1
22217,"the more familiar we become, the more difficult it is to stereotype. . a| a|",1
3059,"beware the ""snowball effect"" blackman! pa 2",1
22542,"we were here before such a bridge appeared. your denial of indigenous first people is racism. ergo, you are a|",1
20828,"the ""monster law"" made by republican lawmakers that disenfranchised black voters ""with near surgical precision.a|",1
23722,has yet to honestly expose the deep rooted hatred towards was based on &amp; so...,1
11869,christmas eve? what about christmas adam? this is towards men d$?d$? down with feminism,1
24642,"if you're mad about and their interracial couple tweet, go fuck yourself.",1
12843,"if they say their comments are just a joke or smth, it will be just their opinion? i don't think so. it's a .",1
31541,.@user ends 2016 with a hopeful message against in the music industry via,1
13343,a&amp;e to to push the producers,1
18034,"shocker. funded causes no matter how r ok, but criticism of policies, is not ok.a|",1
24212,racism &amp; fascism will not get you ratings a&amp;e. people will every time.,1
16173,if i could this 1000x i wud.,1
26405,i love you dude dd,1
13817,is what the lds church stands for? who knew?,1
15972,there is no safe place for blacks in this country because of people like you,1
31460,you might be a libtard if...,1
25763,the legacy of a crony. vote passes calling for to resign or get the boot!,1
28451,in uk's increased because gb have impo from infidel for backhanders,1
29092,intolerant post-brexit britain: history shows we can be better than this | hugh muir,1
5494,the latest the knitting clio daily! thanks to,1
28449,mark levin reveals amissing historya of the pay that... via,1
26108,are you &amp; feel like the are stomping on a|? listen,1
24840,"they call you ""when we go up - they go downa|",1
11854,president jimmy caer leaving his religion due to,1
26696,what you should know about .,1
10295,'cept she plays a celtic woman. celtic symbols and accent etc. but because she's bald character ppl assume she's a man.,1
21705,"in the when you &amp; all those rags that only spread propaganda, fear, hatred,a|",1
13085,you might be a libtard if...,1
23136,this will absolutely piss you off.,1
7813,"come in, =fraud &amp; documented lost base after calling them he's pivoa|",1
34,it's unbelievable that in the 21st century we'd need something like this. again.,1
23909,i say we because i'm speaking collectively. i've always known. 2016 showed a lot. and white rage is still...,1
23679,give hope. dismantle systemic racism. a|,1
19210,"when you say you make mediocre videos, you're being way to flattering. why so though?",1
4099,multiple types of racism in america,1
19623,your fall is going to be a thing of wonder,1
5436,"that whole , too stupid,to realise that a young progressive country,is",1
12470,beyond get by id myth,1
18538,in from a cop,1
28330,isn't it time we realized what we've done: read america's history!,1
1760,this our b 2 end problems like &amp; by turning 2 god of,1
7583,how does it feel to be most hated potus ever?,1
15072,melania is helping me write a speech to end in the us. the title she came up with is great - ai havea|,1
21913,he's a what did anyone expect?,1
22549,the only,1
27858,nobdy wants 2 kiss,1
12515,islam against racism,1
1912,"if you look at a problem and the first thing you thing of is color, be it black or white. you're pa of the problem",1
24192,let 2017 be that where chops down ..knocks down &amp; pride..make a better &amp; enjoyable,1
17857,thought factory: left-right polarisation! +12,1
20434,you might be a libtard if...,1
12149,more evil jew why is it jew controlled media has never and never will cite any non white groua|,1
374,"the pic says otherwise for young girls confined in that kitchen. you are void of meaning, beyond cheap publicity",1
12406,new new new new !new order! new tweets. new new kids on the block. new,1
6908,"have we ever had peotus willing to complain abt his defeated opponent &amp; pay well after election over, and to do sa|",1
9875,pt 2 .that's your bitch ass,1
18147,axed from after comments .....celebrity?? who is she?d$?,1
16151,is good place to sta learning abt how one person can be a &amp;,1
3080,you might be a libtard if...,1
12826,white: good dark: bad itas a twisted version of thatA makes india racist against its own people!,1
7579,"this really is some lovely company you have there, petous and well done.",1
22417,vandalised in in condemns act,1
31670,why is always,1
17103,please retweet! this is an impoant issue that needs to be discussed.,1
2715,and it leads to more violence,1
26450,enlightenment is wasted on the wilfully blind. a|,1
15632,allies r unstoppable! via,1
25680,again looks like a damned fool! for 50 years the usa has openly opposed settlement buliding by,1
22826,"we were? maybe you are-but don't you dare demonize innocent infants born with white skin,",1
17208,2016 is still alive ! black man is forced into coffin by white south africans,1
5124,your comments are reflections of ignorance and,1
2005,why the elects presidents,1
11985,"creature on the eah, w/ girls in",1
9685,b4 sm we didnt hear this latent every single day..,1
984,"don't forget, - research shows that sexist men have psychological problems.",1
30042,beware in marketing tainting messages,1
432,absolutely originated in hateful hatred of our african american,1
27005,bill you're a fucking disgrace take your ass to russia...ddd,1
1336,yay! except made comments so should we be suppoing her? if you say made homo-resistanta|,1
3303,10 hours of walking in as a woman,1
25113,"history won't forget how barack obama was treated a!i, by via",1
14297,"we might be going to hell, but we're not surprised at",1
10852,not all muslims hate america. a| _OSSUO!U O1Ua|,1
20675,f*** this d|do government that deliberately toures we just had a coronial inquest into death &amp; busia|,1
1504,"just coz their is a few of these vids, dont mean they are not woh wotching, they are there hilarious, a must watca|",1
6661,are you .. feel like the are stomping on you? listen,1
20813,"a tale of , &amp; for",1
8004,more americans hate him,1
18629,are you &amp; feel like the are stomping on a|? listen,1
16782,omits decades of records for his ag confirmation hearing 'don't do as i do',1
7441,just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .,1
19916,1. black can't be racist 2. have seen how a white woman acts when she doesn't get her way? it's a perfect metaphora|,1
19280,dear please define and what do you and or intend to do to adda|,1
16741,"this nonsensical, hate-filled word-salad w/b funny if it weren't so sad....",1
6518,".@user while can use phrases like is acceptable 2 ya, hm u isa|",1
77,"hey, white people: you can call people 'white' by",1
24395,#NAME?,1
16638,remark is racist even if only uttered to his wife. should not be involved with anything to do with,1
1463,tyler perry claims areverse racisma by critics of his tlc series,1
3019,the principal resigned! the politicians are corrupt. that means the judges are in...,1
20033,so wonderful to see an intelligent woman stand her ground against a condescending jerk,1
27573,and a . must feel good.,1
25006,"to all of those, who answer replies to my youtube comments...you do not, i repeat you do not know me when i'm angry",1
28833,.@user unbelievable aicle! tip: it's never ok to tell someone they cannot procreate! m or f!,1
18954,was subjected to and she fought back hard!,1
9278,woman catcalled walking in shuts down harassers in best way ever,1
28898,"in 2017, let's all realize that u don't have 2 wear a white hood &amp; tattoo 2 b r saa|",1
23653,no joking matter! officers fired for joke about target practice in neighborhoods via,1
29103,"in queue with basket of food shopping, 50's guy says ""give us a smile"". think my response was a first by the look on his face.",1
29595,"are emboldened by ""win"".",1
31789,is one of a rare breed of that should be shot in the street and left pissing blood in the gutter.,1
17036,wtf rant by inveed aussie flag w/muslim cresca|,1
10015,the cold war was fought over oil. a|,1
22761,for perspective only: a refresher on and,1
19234,the main stream news media like was busily covering a small hand misogynist to notice..,1
7800,book - enduring conviction: fred korematsu &amp; his quest for hta|,1
22972,"2016 is almost over, so ...",1
31726,"the real and are and the minions, not freedom loa|",1
4477,hooked the healand by validating their,1
25196,...and your answer relates to d studying of groups because ..??? just don't think ur struggles relevant,1
15015,video men and women malay hot super sexy girls,1
1317,this. unsatisfied with his has moved into nuclear terror in a newa|,1
6826,your comments are reflections of ignorance and c@user,1
10229,more evidence of the impoance of in the vote,1
13639,white girl has sex with black guy sexest women nude,1
8070,"anyone who thinks asian fetishes are ""harmless"" needs to read this.",1
23434,the latest the blicqeraC/ daily! thanks to,1
2365,check out this post! confession: i'm,1
12967,coming from and the,1
31757,stop these chelski fans.,1
25664,hot lesbian having sex office woman,1
13964,"male privilege, huh? yeah, about that...",1
30133,time to &amp; boycott who gives book deal to troll banned by twitter,1
609,porn vids wwwsmallgirlsexcom,1
12305,i agree.,1
14866,aist thwaed by didnt want his children 'constrained by lines laid down by others',1
18962,thought factory: left-right polarisation! &gt;6,1
811,"i guess is talking about progress in the advancement of ,",1
10443,the latest the equality echo! thanks to,1
16264,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
5941,this woman needs to be arrested and prosecuted for encouraging rape of another race,1
8772,"suck it, haters! voters hate/fear this, voters love/know this. who is the ?",1
14715,why does the government allow behaviour?,1
13987,the knee-jerk reaction is to assume that ait must have been isis.a a|,1
6648,"i'm not a lady, bc i have a voice, opinion and i'm not scared to speak my mind! wait.. isn't that &amp; againsta|",1
14449,adam saleh is a racist is,1
20915,'wish list' of cretin co-chairman of on mr&amp;mrsa|,1
30163,can math help defeat ? -,1
13649,because trump is a &amp; a all provena|,1
19966,says a president elect that calls americans enemies,1
25476,total can like but remain on the &amp; stance ona|,1
6246,"carl paladino, ally, wishes obama dead of mad cow disease in a17",1
17618,new video! super mario run is sexist!,1
13249,"not surprised how ""news"" outlets call opposition to race-mix ad . they hate racism, though. i embrace it. ad is sickening-",1
19975,to all those from ain't a in da blm,1
994,who defines ?: historically or historic,1
19056,"sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaa|",1
354,you might be a libtard if...,1
19612,you mean this guy,1
12300,black trump suppoer smacks down cnn repoer for race baiting,1
30777,"there have been three stages of empire: imperialism, colonialism and neocolonialism. a|a|",1
3478,suppoing which is another as deadly ideology isn't 'bout suppoing,1
7696,"""nigger?"" of white kid growing up in the 60's.",1
26976,"hard to think how is still very much prevalent in so many societies. if you're not white, rest assured disca|",1
31691,7 ways fails its its users by,1
27111,this definitive history of racist ideas should be required reading,1
26602,"have you joined the pizza pay? we're talking , the and .",1
11792,small brains...just close eyes...vote for,1
9670,"d"" now, that's not nice! we're urging president-elect to denounce through his accta|",1
24904,powerful women work for trump !!! racist sexist never bash trump again.,1
2644,donkey proud of murdering real palestinian semitic children - thats what i call,1
22382,this motherfucker needs to be in acharles paladino's racist comments spark calls for resignationa,1
17762,as if reel are letting girls in first and there's a massive queue for guys,1
22567,"~ before enabled mp's to make statements. great alt-right work,",1
30402,.@user d1@user so please stop go away &amp; take ur ugly skank with u.,1
20501,"ending 2016 smoking reefers, going crazy, and listening to negro music. eat that, mr anslinger.",1
498,are you &amp; feel like the are stomping on you? a|,1
7768,the scars left by us waime camps mt,1
18855,"pa 2 of trumps tweets: after his "" coulda won if i wanted 2"" now using putin to project his anger cuz we hate him!",1
8046,"""ebonics"": pa of huge con-job blacks &amp; liberals have been running on america for decades. is actually lack of lana|",1
9400,people spit on the face of,1
20045,white nationalist leader reveals 5 of his most horrifying hopes for,1
793,any minute will condemn the comments of,1
7511,"fuck off, we're full.",1
15463,did someone say ? gee (((@user you're a bit triggered eh?,1
13547,why is ignored,1
30249,"btw, was a . in adores him (without following him).",1
7420,why? it's gonna suck - no one wants anything to do with this shitfest,1
17926,"if a ""negro"" is good he is allowed to go to as a servant for all eternity according to mormonisa|",1
23379,yes because apparently being qualified for a job is dependent upon your ethnicity,1
23119,because we have been for the that only want our vote!,1
12560,"over 12mill arrests/60mill police-civilian encounters per yr in us.shootings,accidents,""abuse"" extremely rare-thousa|",1
2255,"if you are one of the 64.2 mil who rejected , &amp;amp; fly your flag half mast on jan.a|",1
27593,excellent idea! dig deep &amp; hang 'em high! a|,1
13464,"trophy. i have always been one. by ""educate yourself,""",1
22093,abota kitazatoshibasaburo found tetanusimmunization with his colleague but kitazato didnot won nobelprize but colleague won is white,1
18651,"presenter to asian woman in edinburgh: ""what brings you here?"" asian woman: ""i live here.""",1
25598,"you forgot russia since been betrayed by trump and this has never happened b 4, putin will soon slit his throat.",1
25078,this guy is a racist full of ignorance and hatred.,1
1491,"in the age of information, the true ethnicity of biblical people has caused an overlap of anda|",1
25053,"imagine that, is finally ashamed enough of his past to try and hide it.",1
19651,oh my god triggered,1
11604,vandalised in in condemns act,1
2097,"argentine women protest facebook's sexist censorship rules, eg 2.",1
16621,"this is and the rape of land that is not theirs at all for dud,",1
22254,wow! this is what blogging is about! ddd,1
8124,'racism w/out races': classifying humans into races the biggest mistake in history of science. racea|,1
15768,"trump ny co-chair: i want obama to die of mad cow disease and michelle to ""go back to being a male""",1
26239,"when the market crashed in march 2000, greenspan cut interest rates even more a|a|",1
6261,vandalised in in condemns act,1
27313,... and &amp; . must keep the black president in check.,1
7063,is mexican a language? dude it's obvious you back trump. he said he loves the uneducated.,1
2088,people spit on the face of | meditations for the a|,1
22551,"this is awful! just slap on the face to hey my neighbor black just bought a $700,000 house. we r soa|",1
5784,are you &amp; feel like the are stomping a| you? listen,1
25570,"meet the white nationalist movementas favorite russian philosopher, aleksandr dugin",1
22178,"lesson from history, choose carefully; main l. king / malcolm x :: reconciliation / vengeance",1
10519,no! the neighbor has not been arrested. the cop was more interested in the kid littering than the assault of the kia|,1
21621,everyone ask why they endorse such blatant,1
20541,boys play sex womens,1
10745,why is ignored,1
18281,"salt lake tech workers experience least racism, survey says - deseret news",1
790,and you keep telling that only aryans are allowed to rape women! you're just a troll!,1
979,the next best seller book! a|,1
3932,so is it offical that are officially in the eyes of the masses?,1
23505,trump new york co-chair won't resign despite racist remarks about obamas,1
17937,a giant version of the of and flapping in on i-95n,1
31501,"also, you can't love the usa with all your hea and then suppo trump. because he hates half of thea|",1
24570,arise sir mo farah. this is my country you hating chumps.,1
8206,racism is a manmade tool to say we're different when we really aren't,1
13289,does present as a stereotype?,1
22000,on ya prince charles! - issued veiled warning over and return to 'dark days of 1930s',1
3781,"hey, - what is going to be done about this teacher making statements?",1
8626,"expressions of , (ie are pa of all marginalized groups, who live w/ fear.",1
28390,"jews, christians and muslims all believe that good will prevail.",1
5527,i have been open about hvg &amp; being a of years more than one rapist. is still my chief complaint.,1
9673,would you want your child to attend this school? i wouldn't.,1
18190,"now you wanna mock my country b/c you have no pt.d are the most s of all,b/c ""it's not ifa|",1
24771,abe govt oppress than or,1
889,msg of for a business to end .,1
4313,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
5816,"evolution's got a serious public relations problem, even among the well-educated. we need to de-stigmatize the facta|",1
26163,are you &amp; feel like the are stomping on you? a|,1
15404,thought factory: bbc neutrality on right wing fascism +4,1
11520,"8 presidents, same policy on israeli settlements but only obama is slammed as a treacherous anti-semite. a|",1
5151,"keep in mind is totally not , but all whites are dumb....",1
9882,great to see quebec is establishing a provincial inquiry into systemic &amp; towards indigenous ppls,1
2997,sea shepherd suppoers are racist!,1
10967,megaupload porn link porn video,1
23346,how the has made it impossible to challenge,1
7668,"note for those who call for opposing the latest ad: damn right we are! get that filth off the net, you race-traitors-",1
23721,keep standing your ground. interview represents &amp; blatant misrepresentation of valid statementa|,1
10006,champ gets $200k for beating who got $3 million is sophisticated,1
2963,how far is swinging to the right? -,1
9364,"""kevin didnat understand what head done, but he knew head fucked up."" by",1
815,"jake is right, 2 many ppl lack the will power to take a stand &amp; drown the small minded &amp; oft evil tendencies of past",1
29003,he's shown us over &amp; over who he is! him! a|,1
27003,a genealogy of,1
19832,the racist truth about canadian immigration,1
15562,athe biopolitics of desire and neo-nazi fashion iconsa,1
15242,"don't forget, - research shows that sexist men have psychological problems.",1
24455,how do you sleep at night? you are a terrible person! you sir represent everything wrong with our country. gfy,1
21877,9:40pm sunday from playing mind games again blasting neighbors with music intermittently.,1
24981,word factory: race denial prevents healing! ~13,1
22557,vandalised in in condemns act,1
5971,this idiot makes my blood boil!,1
30268,you might be a libtard if...,1
1542,"i felt that lawrence fishburn was added as the ""magical negro"" hollywood stereotypes are made of!",1
29238,and playground insults have always reflected family / society rhetoric on a|,1
25229,outrageous racism from rother dc. hope the families sue 4 failing to follow advice for a life guard &amp; causing the da|,1
879,i liked a video from retard wants more !,1
25022,"no, you're just supposed to be quiet and look pretty.",1
20651,you might be a libtard if...,1
15985,i know. ref. to &amp; is as ref. to . accepting,1
3417,you might be a libtard if...,1
9650,"is attempting to sabotage or country in his final days,",1
1571,"get over it, the world keeps spinning .",1
5854,d(c)the white establishment can't have blk folx running around loving themselves and promoting our greatness,1
31948,"makes you ask yourself, who am i? then am i anybody? until ....god . oh thank you god!",1
13785,todays donkey are proud of murdering real palestinian semitic children - thats what i calla|,1
1039,but look how passionate they are about on the plane. which was yet ignore,1
31492,you might be a libtard if...,1
9762,are a| &amp; feel like the are stomping on you? listen,1
28092,anothr 1/2 a|,1
1949,just some trump suppoers voicing their thoughts on women's suffrage and germany's immigration policy... a|,1
10350,"cuomo: paladino's 'racist, ugly' comments on the obamas embarrass new yorkers",1
27225,"mma fans: losses don't matter, it's great! mma fans about rhonda rousey: she's lost twice, she is trash.",1
2923,how the uses &amp; insecurity to lure men into,1
12717,... what can i label him as ..that hasn't been said before? ... just for a servant to ha|,1
30233,from staing a will we let him?,1
20801,remember this? - camber sands deaths blamed on victims' 'culture' by council,1
29239,"well,these sewer rats don't take a cent from me,....i don't use to watch ""football"",......but now,i hate it!",1
13440,why did the resolve that is a form of,1
24950,watching white water,1
10359,good night sweet d on the 5th day of is which means purpose. our purpose in 2017 is to fight,1
2014,needs to fire &amp; the dumb mfer that hired his promoting ass! don't hire their graduates!,1
28971,the uk government's new 'anti-semitism' definition conflates racism with valid criticism of israel - opena|a|,1
15525,it's clear that we're having a crisis of in this country. so what do we do about it? read,1
3123,"check out this flyer for yay titties! question: do we have to bring our own pussy to grab, or will pussy bea|",1
24933,sex postion picture white girl has sex with black guy,1
5823,freaking nasty rotten people monsters release domA(c)nica now you are going to pay. let her free,1
22989,video men and womenmalayalam ameture porn video,1
6045,the countdown till these assholes are gone obama and moron creepy uncle joe! bye bye scum!ddd 1/4,1
27477,"prostitutes, a brief history of the behaving badly'",1
5088,stop perpetuating false racism and leftist subversive politically correct propaganda. america is not racist! wa|,1
28266,assholes like u should shut up. every rape which is prevented is a victory for humanity. you are a sha|,1
12700,marco rubio has no consideration close to now.,1
27722,"irony: butthucreepers : sexism aicle because they think it's pro-rapist. it's not, you misogynists htta|",1
11443,stirs anti-jewish hate &amp; on twitter from progressives,1
21194,vandalised in in condemns act,1
20419,just learned that there're men who find breast feeding repulsive. &amp; some of those are fathers! does that makes any sense whatsoever?,1
30932,is not a problem in america today. is. dumb is an equal oppounity killer of dreams.,1
17137,pay porn free video jokes about women,1
16924,"seems like ""#canadianvalues"" are ignoring reality, dividing &amp; weakening, &amp; .",1
12744,"and sorry if we are ethnically cleansing you in east jerusalem or bethlehem, but hey. a|",1
16551,"8 presidents, same policy on israeli settlements but only obama is slammed as a treacherous anti-semite. a|",1
2258,"i don't wish an happy new year to a , an a a , a like you.",1
31708,sessions to african-americans: fear not,1
14459,you might be a libtard if...,1
6110,the cold war was also fought over oil.,1
749,everytime i wear soccer shis joie fries me and says i look mexican as fuck d,1
21365,"the real and are and the minions, not freedom loving americans",1
